"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"02.01.2016 12:00 - 02.01.2016 12:15","9697","9690"
"02.01.2016 12:15 - 02.01.2016 12:30","9700","9697"
"02.01.2016 12:30 - 02.01.2016 12:45","9668","9642"
"02.01.2016 12:45 - 02.01.2016 13:00","9659","9667"
"02.01.2016 13:00 - 02.01.2016 13:15","9635","9634"
"02.01.2016 13:15 - 02.01.2016 13:30","9604","9504"
"02.01.2016 13:30 - 02.01.2016 13:45","9547","9521"
"02.01.2016 13:45 - 02.01.2016 14:00","9480","9544"
"02.01.2016 14:00 - 02.01.2016 14:15","9421","9510"
"02.01.2016 14:15 - 02.01.2016 14:30","9379","9483"
"02.01.2016 14:30 - 02.01.2016 14:45","9341","9388"
"02.01.2016 14:45 - 02.01.2016 15:00","9319","9379"
"02.01.2016 15:00 - 02.01.2016 15:15","9314","9361"
"02.01.2016 15:15 - 02.01.2016 15:30","9332","9367"
"02.01.2016 15:30 - 02.01.2016 15:45","9340","9355"
"02.01.2016 15:45 - 02.01.2016 16:00","9319","9354"
"02.01.2016 16:00 - 02.01.2016 16:15","9317","9390"
"02.01.2016 16:15 - 02.01.2016 16:30","9366","9461"
"02.01.2016 16:30 - 02.01.2016 16:45","9533","9517"
"02.01.2016 16:45 - 02.01.2016 17:00","9738","9711"
"02.01.2016 17:00 - 02.01.2016 17:15","9940","9937"
"02.01.2016 17:15 - 02.01.2016 17:30","10063","10086"
"02.01.2016 17:30 - 02.01.2016 17:45","10136","10232"
"02.01.2016 17:45 - 02.01.2016 18:00","10201","10296"
"02.01.2016 18:00 - 02.01.2016 18:15","10248","10323"
"02.01.2016 18:15 - 02.01.2016 18:30","10276","10271"
"02.01.2016 18:30 - 02.01.2016 18:45","10237","10302"
"02.01.2016 18:45 - 02.01.2016 19:00","10161","10250"
"02.01.2016 19:00 - 02.01.2016 19:15","10064","10169"
"02.01.2016 19:15 - 02.01.2016 19:30","9966","10111"
"02.01.2016 19:30 - 02.01.2016 19:45","9864","9928"
"02.01.2016 19:45 - 02.01.2016 20:00","9752","9773"
"02.01.2016 20:00 - 02.01.2016 20:15","9637","9766"
"02.01.2016 20:15 - 02.01.2016 20:30","9517","9675"
"02.01.2016 20:30 - 02.01.2016 20:45","9408","9529"
"02.01.2016 20:45 - 02.01.2016 21:00","9292","9455"
"02.01.2016 21:00 - 02.01.2016 21:15","9187","9328"
"02.01.2016 21:15 - 02.01.2016 21:30","9087","9206"
"02.01.2016 21:30 - 02.01.2016 21:45","9011","9104"
"02.01.2016 21:45 - 02.01.2016 22:00","9026","9088"
"02.01.2016 22:00 - 02.01.2016 22:15","9112","9179"
"02.01.2016 22:15 - 02.01.2016 22:30","9206","9365"
"02.01.2016 22:30 - 02.01.2016 22:45","9244","9386"
"02.01.2016 22:45 - 02.01.2016 23:00","9307","9347"
"02.01.2016 23:00 - 02.01.2016 23:15","9347","9392"
"02.01.2016 23:15 - 02.01.2016 23:30","9348","9340"
"02.01.2016 23:30 - 02.01.2016 23:45","9219","9201"
"02.01.2016 23:45 - 03.01.2016 00:00","9106","9108"
"03.01.2016 00:00 - 03.01.2016 00:15","8738","8946"
"03.01.2016 00:15 - 03.01.2016 00:30","8717","8735"
"03.01.2016 00:30 - 03.01.2016 00:45","8563","8567"
"03.01.2016 00:45 - 03.01.2016 01:00","8475","8327"
"03.01.2016 01:00 - 03.01.2016 01:15","8707","8259"
"03.01.2016 01:15 - 03.01.2016 01:30","8506","8156"
"03.01.2016 01:30 - 03.01.2016 01:45","8358","8030"
"03.01.2016 01:45 - 03.01.2016 02:00","8252","7924"
"03.01.2016 02:00 - 03.01.2016 02:15","8135","7806"
"03.01.2016 02:15 - 03.01.2016 02:30","8048","7715"
"03.01.2016 02:30 - 03.01.2016 02:45","7986","7647"
"03.01.2016 02:45 - 03.01.2016 03:00","7937","7554"
"03.01.2016 03:00 - 03.01.2016 03:15","7840","7483"
"03.01.2016 03:15 - 03.01.2016 03:30","7790","7443"
"03.01.2016 03:30 - 03.01.2016 03:45","7795","7389"
"03.01.2016 03:45 - 03.01.2016 04:00","7743","7366"
"03.01.2016 04:00 - 03.01.2016 04:15","7652","7369"
"03.01.2016 04:15 - 03.01.2016 04:30","7674","7374"
"03.01.2016 04:30 - 03.01.2016 04:45","7652","7344"
"03.01.2016 04:45 - 03.01.2016 05:00","7673","7386"
"03.01.2016 05:00 - 03.01.2016 05:15","7616","7430"
"03.01.2016 05:15 - 03.01.2016 05:30","7626","7450"
"03.01.2016 05:30 - 03.01.2016 05:45","7656","7461"
"03.01.2016 05:45 - 03.01.2016 06:00","7677","7517"
"03.01.2016 06:00 - 03.01.2016 06:15","7744","7649"
"03.01.2016 06:15 - 03.01.2016 06:30","7782","7766"
"03.01.2016 06:30 - 03.01.2016 06:45","7798","7782"
"03.01.2016 06:45 - 03.01.2016 07:00","7862","7847"
"03.01.2016 07:00 - 03.01.2016 07:15","7747","7836"
"03.01.2016 07:15 - 03.01.2016 07:30","7809","7959"
"03.01.2016 07:30 - 03.01.2016 07:45","7899","8008"
"03.01.2016 07:45 - 03.01.2016 08:00","7998","8101"
"03.01.2016 08:00 - 03.01.2016 08:15","8065","8267"
"03.01.2016 08:15 - 03.01.2016 08:30","8206","8351"
"03.01.2016 08:30 - 03.01.2016 08:45","8264","8352"
"03.01.2016 08:45 - 03.01.2016 09:00","8361","8468"
"03.01.2016 09:00 - 03.01.2016 09:15","8512","8588"
"03.01.2016 09:15 - 03.01.2016 09:30","8597","8772"
"03.01.2016 09:30 - 03.01.2016 09:45","8756","8882"
"03.01.2016 09:45 - 03.01.2016 10:00","8854","8974"
"03.01.2016 10:00 - 03.01.2016 10:15","9051","9084"
"03.01.2016 10:15 - 03.01.2016 10:30","9125","9161"
"03.01.2016 10:30 - 03.01.2016 10:45","9196","9235"
"03.01.2016 10:45 - 03.01.2016 11:00","9263","9388"
"03.01.2016 11:00 - 03.01.2016 11:15","9433","9444"
"03.01.2016 11:15 - 03.01.2016 11:30","9491","9565"
"03.01.2016 11:30 - 03.01.2016 11:45","9595","9688"
"03.01.2016 11:45 - 03.01.2016 12:00","9666","9769"
"03.01.2016 12:00 - 03.01.2016 12:15","9771","9818"
"03.01.2016 12:15 - 03.01.2016 12:30","9754","9878"
"03.01.2016 12:30 - 03.01.2016 12:45","9731","9850"
"03.01.2016 12:45 - 03.01.2016 13:00","9651","9772"
"03.01.2016 13:00 - 03.01.2016 13:15","9646","9789"
"03.01.2016 13:15 - 03.01.2016 13:30","9555","9669"
"03.01.2016 13:30 - 03.01.2016 13:45","9496","9617"
"03.01.2016 13:45 - 03.01.2016 14:00","9445","9528"
"03.01.2016 14:00 - 03.01.2016 14:15","9353","9438"
"03.01.2016 14:15 - 03.01.2016 14:30","9316","9430"
"03.01.2016 14:30 - 03.01.2016 14:45","9287","9454"
"03.01.2016 14:45 - 03.01.2016 15:00","9212","9435"
"03.01.2016 15:00 - 03.01.2016 15:15","9259","9434"
"03.01.2016 15:15 - 03.01.2016 15:30","9252","9404"
"03.01.2016 15:30 - 03.01.2016 15:45","9215","9405"
"03.01.2016 15:45 - 03.01.2016 16:00","9213","9468"
"03.01.2016 16:00 - 03.01.2016 16:15","9079","9489"
"03.01.2016 16:15 - 03.01.2016 16:30","9163","9534"
"03.01.2016 16:30 - 03.01.2016 16:45","9300","9666"
"03.01.2016 16:45 - 03.01.2016 17:00","9526","9866"
"03.01.2016 17:00 - 03.01.2016 17:15","9943","10117"
"03.01.2016 17:15 - 03.01.2016 17:30","10019","10185"
"03.01.2016 17:30 - 03.01.2016 17:45","10136","10371"
"03.01.2016 17:45 - 03.01.2016 18:00","10174","10458"
"03.01.2016 18:00 - 03.01.2016 18:15","10408","10396"
"03.01.2016 18:15 - 03.01.2016 18:30","10442","10389"
"03.01.2016 18:30 - 03.01.2016 18:45","10415","10330"
"03.01.2016 18:45 - 03.01.2016 19:00","10376","10340"
"03.01.2016 19:00 - 03.01.2016 19:15","10432","10377"
"03.01.2016 19:15 - 03.01.2016 19:30","10345","10303"
"03.01.2016 19:30 - 03.01.2016 19:45","10343","10225"
"03.01.2016 19:45 - 03.01.2016 20:00","10278","10090"
"03.01.2016 20:00 - 03.01.2016 20:15","10181","9979"
"03.01.2016 20:15 - 03.01.2016 20:30","10059","9995"
"03.01.2016 20:30 - 03.01.2016 20:45","9977","9886"
"03.01.2016 20:45 - 03.01.2016 21:00","9853","9631"
"03.01.2016 21:00 - 03.01.2016 21:15","9766","9701"
"03.01.2016 21:15 - 03.01.2016 21:30","9672","9626"
"03.01.2016 21:30 - 03.01.2016 21:45","9549","9504"
"03.01.2016 21:45 - 03.01.2016 22:00","9488","9489"
"03.01.2016 22:00 - 03.01.2016 22:15","9591","9512"
"03.01.2016 22:15 - 03.01.2016 22:30","9732","9712"
"03.01.2016 22:30 - 03.01.2016 22:45","9769","9711"
"03.01.2016 22:45 - 03.01.2016 23:00","9733","9672"
"03.01.2016 23:00 - 03.01.2016 23:15","9817","9756"
"03.01.2016 23:15 - 03.01.2016 23:30","9734","9664"
"03.01.2016 23:30 - 03.01.2016 23:45","9541","9507"
"03.01.2016 23:45 - 04.01.2016 00:00","9385","9387"
"04.01.2016 00:00 - 04.01.2016 00:15","9261","9174"
"04.01.2016 00:15 - 04.01.2016 00:30","9091","8852"
"04.01.2016 00:30 - 04.01.2016 00:45","8925","8794"
"04.01.2016 00:45 - 04.01.2016 01:00","8786","8758"
"04.01.2016 01:00 - 04.01.2016 01:15","9109","8697"
"04.01.2016 01:15 - 04.01.2016 01:30","8998","8570"
"04.01.2016 01:30 - 04.01.2016 01:45","8850","8397"
"04.01.2016 01:45 - 04.01.2016 02:00","8732","8270"
"04.01.2016 02:00 - 04.01.2016 02:15","8678","8275"
"04.01.2016 02:15 - 04.01.2016 02:30","8578","8145"
"04.01.2016 02:30 - 04.01.2016 02:45","8543","8099"
"04.01.2016 02:45 - 04.01.2016 03:00","8421","8064"
"04.01.2016 03:00 - 04.01.2016 03:15","8335","8009"
"04.01.2016 03:15 - 04.01.2016 03:30","8356","7951"
"04.01.2016 03:30 - 04.01.2016 03:45","8313","8052"
"04.01.2016 03:45 - 04.01.2016 04:00","8362","8001"
"04.01.2016 04:00 - 04.01.2016 04:15","8285","8092"
"04.01.2016 04:15 - 04.01.2016 04:30","8325","8117"
"04.01.2016 04:30 - 04.01.2016 04:45","8399","8106"
"04.01.2016 04:45 - 04.01.2016 05:00","8454","8156"
"04.01.2016 05:00 - 04.01.2016 05:15","8544","8311"
"04.01.2016 05:15 - 04.01.2016 05:30","8680","8506"
"04.01.2016 05:30 - 04.01.2016 05:45","8796","8612"
"04.01.2016 05:45 - 04.01.2016 06:00","8990","8876"
"04.01.2016 06:00 - 04.01.2016 06:15","9408","9267"
"04.01.2016 06:15 - 04.01.2016 06:30","9632","9642"
"04.01.2016 06:30 - 04.01.2016 06:45","9855","9970"
"04.01.2016 06:45 - 04.01.2016 07:00","10093","10308"
"04.01.2016 07:00 - 04.01.2016 07:15","10214","10506"
"04.01.2016 07:15 - 04.01.2016 07:30","10339","10817"
"04.01.2016 07:30 - 04.01.2016 07:45","10561","11031"
"04.01.2016 07:45 - 04.01.2016 08:00","10772","11214"
"04.01.2016 08:00 - 04.01.2016 08:15","10816","11427"
"04.01.2016 08:15 - 04.01.2016 08:30","10989","11561"
"04.01.2016 08:30 - 04.01.2016 08:45","10964","11598"
"04.01.2016 08:45 - 04.01.2016 09:00","10959","11546"
"04.01.2016 09:00 - 04.01.2016 09:15","10885","11523"
"04.01.2016 09:15 - 04.01.2016 09:30","10891","11517"
"04.01.2016 09:30 - 04.01.2016 09:45","10967","11665"
"04.01.2016 09:45 - 04.01.2016 10:00","11025","11711"
"04.01.2016 10:00 - 04.01.2016 10:15","10928","11675"
"04.01.2016 10:15 - 04.01.2016 10:30","10986","11603"
"04.01.2016 10:30 - 04.01.2016 10:45","10978","11641"
"04.01.2016 10:45 - 04.01.2016 11:00","10916","11660"
"04.01.2016 11:00 - 04.01.2016 11:15","11009","11691"
"04.01.2016 11:15 - 04.01.2016 11:30","11093","11803"
"04.01.2016 11:30 - 04.01.2016 11:45","11110","11798"
"04.01.2016 11:45 - 04.01.2016 12:00","11172","11852"
"04.01.2016 12:00 - 04.01.2016 12:15","11121","11623"
"04.01.2016 12:15 - 04.01.2016 12:30","11014","11544"
"04.01.2016 12:30 - 04.01.2016 12:45","10982","11579"
"04.01.2016 12:45 - 04.01.2016 13:00","10965","11612"
"04.01.2016 13:00 - 04.01.2016 13:15","11100","11672"
"04.01.2016 13:15 - 04.01.2016 13:30","11004","11678"
"04.01.2016 13:30 - 04.01.2016 13:45","11012","11611"
"04.01.2016 13:45 - 04.01.2016 14:00","10909","11632"
"04.01.2016 14:00 - 04.01.2016 14:15","10982","11618"
"04.01.2016 14:15 - 04.01.2016 14:30","10936","11614"
"04.01.2016 14:30 - 04.01.2016 14:45","10866","11649"
"04.01.2016 14:45 - 04.01.2016 15:00","10849","11536"
"04.01.2016 15:00 - 04.01.2016 15:15","10874","11509"
"04.01.2016 15:15 - 04.01.2016 15:30","10879","11493"
"04.01.2016 15:30 - 04.01.2016 15:45","10927","11631"
"04.01.2016 15:45 - 04.01.2016 16:00","10926","11546"
"04.01.2016 16:00 - 04.01.2016 16:15","10816","11622"
"04.01.2016 16:15 - 04.01.2016 16:30","10880","11580"
"04.01.2016 16:30 - 04.01.2016 16:45","11034","11596"
"04.01.2016 16:45 - 04.01.2016 17:00","11352","11864"
"04.01.2016 17:00 - 04.01.2016 17:15","11526","12167"
"04.01.2016 17:15 - 04.01.2016 17:30","11702","12388"
"04.01.2016 17:30 - 04.01.2016 17:45","11843","12520"
"04.01.2016 17:45 - 04.01.2016 18:00","11904","12518"
"04.01.2016 18:00 - 04.01.2016 18:15","11985","12446"
"04.01.2016 18:15 - 04.01.2016 18:30","11956","12480"
"04.01.2016 18:30 - 04.01.2016 18:45","11878","12328"
"04.01.2016 18:45 - 04.01.2016 19:00","11798","12261"
"04.01.2016 19:00 - 04.01.2016 19:15","11728","12017"
"04.01.2016 19:15 - 04.01.2016 19:30","11541","11850"
"04.01.2016 19:30 - 04.01.2016 19:45","11362","11686"
"04.01.2016 19:45 - 04.01.2016 20:00","11237","11506"
"04.01.2016 20:00 - 04.01.2016 20:15","11070","11330"
"04.01.2016 20:15 - 04.01.2016 20:30","10864","11148"
"04.01.2016 20:30 - 04.01.2016 20:45","10706","10943"
"04.01.2016 20:45 - 04.01.2016 21:00","10610","10853"
"04.01.2016 21:00 - 04.01.2016 21:15","10501","10674"
"04.01.2016 21:15 - 04.01.2016 21:30","10376","10514"
"04.01.2016 21:30 - 04.01.2016 21:45","10284","10394"
"04.01.2016 21:45 - 04.01.2016 22:00","10206","10210"
