"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Belgium (BE)","20.05.2015 09:00 - 20.05.2015 10:00 (CET)","266","n/e","n/e","1957","0","0","n/e","n/e","n/e","580","","18","n/e","n/e","3468","703","n/e","1049","230","114","95"
"Belgium (BE)","20.05.2015 10:00 - 20.05.2015 11:00 (CET)","270","n/e","n/e","1919","0","0","n/e","n/e","n/e","342","","19","n/e","n/e","3468","673","n/e","1365","226","132","102"
"Belgium (BE)","20.05.2015 11:00 - 20.05.2015 12:00 (CET)","270","n/e","n/e","1910","0","0","n/e","n/e","n/e","349","","18","n/e","n/e","3466","656","n/e","1434","213","90","142"
"Belgium (BE)","20.05.2015 12:00 - 20.05.2015 13:00 (CET)","272","n/e","n/e","1841","0","0","n/e","n/e","n/e","61","0","17","n/e","n/e","3465","678","n/e","1498","231","98","186"
"Belgium (BE)","20.05.2015 13:00 - 20.05.2015 14:00 (CET)","263","n/e","n/e","1766","0","0","n/e","n/e","n/e","30","0","18","n/e","n/e","3465","669","n/e","1587","240","126","217"
"Belgium (BE)","20.05.2015 14:00 - 20.05.2015 15:00 (CET)","274","n/e","n/e","1721","0","0","n/e","n/e","n/e","27","","17","n/e","n/e","3464","682","n/e","1661","234","119","220"
"Belgium (BE)","20.05.2015 15:00 - 20.05.2015 16:00 (CET)","250","n/e","n/e","1755","0","0","n/e","n/e","n/e","","106","15","n/e","n/e","3465","681","n/e","1716","219","119","211"
"Belgium (BE)","20.05.2015 16:00 - 20.05.2015 17:00 (CET)","199","n/e","n/e","1862","0","0","n/e","n/e","n/e","","241","16","n/e","n/e","3466","656","n/e","1510","224","104","215"
"Belgium (BE)","20.05.2015 17:00 - 20.05.2015 18:00 (CET)","250","n/e","n/e","1892","0","0","n/e","n/e","n/e","79","4","16","n/e","n/e","3465","636","n/e","1206","223","107","189"
"Belgium (BE)","20.05.2015 18:00 - 20.05.2015 19:00 (CET)","273","n/e","n/e","1843","0","0","n/e","n/e","n/e","16","0","16","n/e","n/e","3466","633","n/e","813","220","84","198"
"Belgium (BE)","20.05.2015 19:00 - 20.05.2015 20:00 (CET)","271","n/e","n/e","1914","0","0","n/e","n/e","n/e","18","0","16","n/e","n/e","3466","648","n/e","397","216","53","160"
"Belgium (BE)","20.05.2015 20:00 - 20.05.2015 21:00 (CET)","271","n/e","n/e","1910","0","0","n/e","n/e","n/e","87","","15","n/e","n/e","3465","635","n/e","104","208","12","119"
"Belgium (BE)","20.05.2015 21:00 - 20.05.2015 22:00 (CET)","275","n/e","n/e","1863","0","0","n/e","n/e","n/e","180","","13","n/e","n/e","3466","600","n/e","5","207","32","80"
"Belgium (BE)","20.05.2015 22:00 - 20.05.2015 23:00 (CET)","276","n/e","n/e","1801","0","0","n/e","n/e","n/e","561","","14","n/e","n/e","3467","578","n/e","0","203","12","76"
"Belgium (BE)","20.05.2015 23:00 - 21.05.2015 00:00 (CET)","276","n/e","n/e","1775","0","0","n/e","n/e","n/e","207","9","15","n/e","n/e","3468","553","n/e","0","204","43","67"
"Belgium (BE)","21.05.2015 00:00 - 21.05.2015 01:00 (CET)","276","n/e","n/e","1640","0","0","n/e","n/e","n/e","","287","16","n/e","n/e","3469","438","n/e","0","205","58","109"
"Belgium (BE)","21.05.2015 01:00 - 21.05.2015 02:00 (CET)","275","n/e","n/e","1709","0","0","n/e","n/e","n/e","","353","16","n/e","n/e","3470","438","n/e","0","201","79","113"
"Belgium (BE)","21.05.2015 02:00 - 21.05.2015 03:00 (CET)","277","n/e","n/e","1705","0","0","n/e","n/e","n/e","","521","16","n/e","n/e","3471","429","n/e","0","201","168","101"
"Belgium (BE)","21.05.2015 03:00 - 21.05.2015 04:00 (CET)","275","n/e","n/e","1693","0","0","n/e","n/e","n/e","","809","16","n/e","n/e","3468","408","n/e","0","203","170","92"
"Belgium (BE)","21.05.2015 04:00 - 21.05.2015 05:00 (CET)","276","n/e","n/e","1723","0","0","n/e","n/e","n/e","","812","16","n/e","n/e","3468","419","n/e","0","204","102","94"
"Belgium (BE)","21.05.2015 05:00 - 21.05.2015 06:00 (CET)","277","n/e","n/e","1686","0","0","n/e","n/e","n/e","","645","16","n/e","n/e","3469","453","n/e","0","206","108","90"
"Belgium (BE)","21.05.2015 06:00 - 21.05.2015 07:00 (CET)","277","n/e","n/e","1699","0","0","n/e","n/e","n/e","","189","16","n/e","n/e","3468","502","n/e","87","211","97","76"
"Belgium (BE)","21.05.2015 07:00 - 21.05.2015 08:00 (CET)","274","n/e","n/e","1845","0","0","n/e","n/e","n/e","294","","16","n/e","n/e","3469","624","n/e","381","211","82","54"
"Belgium (BE)","21.05.2015 08:00 - 21.05.2015 09:00 (CET)","275","n/e","n/e","1787","0","0","n/e","n/e","n/e","615","","17","n/e","n/e","3466","678","n/e","862","210","52","31"
"Belgium (BE)","21.05.2015 09:00 - 21.05.2015 10:00 (CET)","280","n/e","n/e","1732","0","0","n/e","n/e","n/e","484","","18","n/e","n/e","3458","671","n/e","1349","206","39","13"
"Belgium (BE)","21.05.2015 10:00 - 21.05.2015 11:00 (CET)","275","n/e","n/e","1631","0","0","n/e","n/e","n/e","507","","17","n/e","n/e","3453","665","n/e","1681","197","69","21"
"Belgium (BE)","21.05.2015 11:00 - 21.05.2015 12:00 (CET)","276","n/e","n/e","1695","0","0","n/e","n/e","n/e","522","","16","n/e","n/e","3452","684","n/e","1694","205","40","33"
"Belgium (BE)","21.05.2015 12:00 - 21.05.2015 13:00 (CET)","272","n/e","n/e","1725","0","0","n/e","n/e","n/e","201","","18","n/e","n/e","3453","705","n/e","1629","223","63","59"
"Belgium (BE)","21.05.2015 13:00 - 21.05.2015 14:00 (CET)","273","n/e","n/e","1821","0","0","n/e","n/e","n/e","40","0","18","n/e","n/e","3453","711","n/e","1677","226","67","88"
"Belgium (BE)","21.05.2015 14:00 - 21.05.2015 15:00 (CET)","282","n/e","n/e","1660","0","0","n/e","n/e","n/e","","1","19","n/e","n/e","3451","706","n/e","1691","220","80","104"
"Belgium (BE)","21.05.2015 15:00 - 21.05.2015 16:00 (CET)","277","n/e","n/e","1775","0","0","n/e","n/e","n/e","","170","17","n/e","n/e","3452","680","n/e","1598","208","52","108"
"Belgium (BE)","21.05.2015 16:00 - 21.05.2015 17:00 (CET)","279","n/e","n/e","1822","0","0","n/e","n/e","n/e","","190","17","n/e","n/e","3451","657","n/e","1348","209","93","118"
"Belgium (BE)","21.05.2015 17:00 - 21.05.2015 18:00 (CET)","275","n/e","n/e","1882","0","0","n/e","n/e","n/e","","165","17","n/e","n/e","3452","676","n/e","1080","210","176","118"
"Belgium (BE)","21.05.2015 18:00 - 21.05.2015 19:00 (CET)","275","n/e","n/e","1818","0","0","n/e","n/e","n/e","","79","17","n/e","n/e","3452","718","n/e","747","221","249","118"
"Belgium (BE)","21.05.2015 19:00 - 21.05.2015 20:00 (CET)","275","n/e","n/e","1929","0","0","n/e","n/e","n/e","364","","17","n/e","n/e","3452","684","n/e","395","197","288","109"
"Belgium (BE)","21.05.2015 20:00 - 21.05.2015 21:00 (CET)","277","n/e","n/e","1871","0","0","n/e","n/e","n/e","115","","17","n/e","n/e","3452","641","n/e","117","201","346","65"
"Belgium (BE)","21.05.2015 21:00 - 21.05.2015 22:00 (CET)","278","n/e","n/e","1819","0","0","n/e","n/e","n/e","94","","16","n/e","n/e","3452","586","n/e","9","209","358","54"
"Belgium (BE)","21.05.2015 22:00 - 21.05.2015 23:00 (CET)","276","n/e","n/e","1818","0","0","n/e","n/e","n/e","112","","15","n/e","n/e","3452","561","n/e","0","213","330","62"
"Belgium (BE)","21.05.2015 23:00 - 22.05.2015 00:00 (CET)","258","n/e","n/e","1832","0","0","n/e","n/e","n/e","196","","15","n/e","n/e","3450","610","n/e","0","221","277","68"
"Belgium (BE)","22.05.2015 00:00 - 22.05.2015 01:00 (CET)","230","n/e","n/e","1735","0","0","n/e","n/e","n/e","","83","15","n/e","n/e","3451","549","n/e","0","224","252","69"
"Belgium (BE)","22.05.2015 01:00 - 22.05.2015 02:00 (CET)","228","n/e","n/e","1815","0","0","n/e","n/e","n/e","","80","17","n/e","n/e","3451","513","n/e","0","223","227","57"
"Belgium (BE)","22.05.2015 02:00 - 22.05.2015 03:00 (CET)","226","n/e","n/e","1723","0","0","n/e","n/e","n/e","","662","18","n/e","n/e","3452","479","n/e","0","224","204","58"
"Belgium (BE)","22.05.2015 03:00 - 22.05.2015 04:00 (CET)","268","n/e","n/e","1726","0","0","n/e","n/e","n/e","","698","18","n/e","n/e","3452","470","n/e","0","223","179","45"
"Belgium (BE)","22.05.2015 04:00 - 22.05.2015 05:00 (CET)","278","n/e","n/e","1711","0","0","n/e","n/e","n/e","","714","19","n/e","n/e","3454","486","n/e","0","224","131","39"
"Belgium (BE)","22.05.2015 05:00 - 22.05.2015 06:00 (CET)","278","n/e","n/e","1641","0","0","n/e","n/e","n/e","","537","18","n/e","n/e","3455","487","n/e","0","222","116","39"
"Belgium (BE)","22.05.2015 06:00 - 22.05.2015 07:00 (CET)","276","n/e","n/e","1756","0","0","n/e","n/e","n/e","2","169","17","n/e","n/e","3456","502","n/e","69","223","109","39"
"Belgium (BE)","22.05.2015 07:00 - 22.05.2015 08:00 (CET)","274","n/e","n/e","2029","0","0","n/e","n/e","n/e","88","","16","n/e","n/e","3449","682","n/e","259","228","84","28"
"Belgium (BE)","22.05.2015 08:00 - 22.05.2015 09:00 (CET)","275","n/e","n/e","2091","0","0","n/e","n/e","n/e","631","","16","n/e","n/e","3446","749","n/e","534","238","77","18"
